Company,Job Title
abrdn,"Head of Change, Adviser"
abrdn,Head of Proposition
abrdn,Chief Product & Technology Officer
Andromeda,M&A
Be-IQ Ltd,Chief Executive Officer
Centology,Head of Sales
Circadian,Director of Account Services
Couplr.AI,Founder & CEO
Couplr.AI,Co-founder
Dorsum Ltd,UK Head of Sales and Business Development
Evotra Ltd,Chief Executive Officer
Evotra Ltd,Consultant
JoyndUp Ltd,Director
Nucleus,Head of Enterprise
Ortec Finance B.V.,"Head of Innovation & Research, Global Wealth Solutions"
Re.LoA,Co-founder
Royal London,Adviser Technology Delivery Lead
Royal London,Proposition Analyst - Adviser Experience
Royal London,Relationship Support Lead
Software Mind,Business Development Director
SS&C Wealth Management,Sales
